Open,Close,Year,Month,Date
226.919998,238.899994,1986,03,03/01/1986
238.899994,235.520004,1986,04,04/01/1986
235.520004,247.350006,1986,05,05/01/1986
246.039993,250.83999599999999,1986,06,06/01/1986
250.669998,236.11999500000002,1986,07,07/01/1986
236.11999500000002,252.92999300000002,1986,08,08/01/1986
252.92999300000002,231.32000699999998,1986,09,09/01/1986
231.32000699999998,243.979996,1986,10,10/01/1986
243.97000099999997,249.22000099999997,1986,11,11/01/1986
249.22000099999997,242.169998,1986,12,12/01/1986
242.169998,274.079987,1987,01,01/01/1987
274.079987,284.200012,1987,02,02/01/1987
284.170013,291.700012,1987,03,03/01/1987
291.589996,288.359985,1987,04,04/01/1987
286.98999,290.100006,1987,05,05/01/1987
290.119995,304.0,1987,06,06/01/1987
303.98999,318.660004,1987,07,07/01/1987
318.619995,329.799988,1987,08,08/01/1987
329.809998,321.829987,1987,09,09/01/1987
321.829987,251.789993,1987,10,10/01/1987
251.729996,230.30000299999998,1987,11,11/01/1987
230.32000699999998,247.080002,1987,12,12/01/1987
247.100006,257.070007,1988,01,01/01/1988
257.049988,267.820007,1988,02,02/01/1988
267.820007,258.890015,1988,03,03/01/1988
258.890015,261.329987,1988,04,04/01/1988
261.359985,262.160004,1988,05,05/01/1988
262.160004,273.5,1988,06,06/01/1988
273.5,272.019989,1988,07,07/01/1988
272.02999900000003,261.519989,1988,08,08/01/1988
261.519989,271.910004,1988,09,09/01/1988
271.890015,278.97000099999997,1988,10,10/01/1988
278.97000099999997,273.700012,1988,11,11/01/1988
273.679993,277.72000099999997,1988,12,12/01/1988
277.72000099999997,297.47000099999997,1989,01,01/01/1989
297.47000099999997,288.859985,1989,02,02/01/1989
288.859985,294.869995,1989,03,03/01/1989
294.869995,309.640015,1989,04,04/01/1989
309.640015,320.519989,1989,05,05/01/1989
320.51001,317.980011,1989,06,06/01/1989
317.980011,346.079987,1989,07,07/01/1989
346.079987,351.450012,1989,08,08/01/1989
351.450012,349.149994,1989,09,09/01/1989
349.149994,340.359985,1989,10,10/01/1989
340.359985,345.98999,1989,11,11/01/1989
346.01001,353.399994,1989,12,12/01/1989
353.399994,329.079987,1990,01,01/01/1990
329.079987,331.890015,1990,02,02/01/1990
331.890015,339.940002,1990,03,03/01/1990
339.940002,330.799988,1990,04,04/01/1990
330.799988,361.230011,1990,05,05/01/1990
361.26001,358.019989,1990,06,06/01/1990
358.019989,356.149994,1990,07,07/01/1990
356.149994,322.559998,1990,08,08/01/1990
322.559998,306.049988,1990,09,09/01/1990
306.100006,304.0,1990,10,10/01/1990
303.98999,322.22000099999997,1990,11,11/01/1990
322.230011,330.22000099999997,1990,12,12/01/1990
330.200012,343.929993,1991,01,01/01/1991
343.910004,367.070007,1991,02,02/01/1991
367.070007,375.22000099999997,1991,03,03/01/1991
375.22000099999997,375.339996,1991,04,04/01/1991
375.350006,389.829987,1991,05,05/01/1991
389.809998,371.160004,1991,06,06/01/1991
371.179993,387.809998,1991,07,07/01/1991
387.809998,395.429993,1991,08,08/01/1991
395.429993,387.859985,1991,09,09/01/1991
387.859985,392.450012,1991,10,10/01/1991
392.459991,375.22000099999997,1991,11,11/01/1991
375.109985,417.089996,1991,12,12/01/1991
417.02999900000003,408.77999900000003,1992,01,01/01/1992
408.790009,412.700012,1992,02,02/01/1992
412.679993,403.690002,1992,03,03/01/1992
403.670013,414.950012,1992,04,04/01/1992
414.950012,415.350006,1992,05,05/01/1992
415.350006,408.140015,1992,06,06/01/1992
408.200012,424.209991,1992,07,07/01/1992
424.19000199999994,414.02999900000003,1992,08,08/01/1992
414.02999900000003,417.799988,1992,09,09/01/1992
417.799988,418.679993,1992,10,10/01/1992
418.660004,431.35000599999995,1992,11,11/01/1992
431.35000599999995,435.709991,1992,12,12/01/1992
435.700012,438.77999900000003,1993,01,01/01/1993
438.77999900000003,443.380005,1993,02,02/01/1993
443.380005,451.670013,1993,03,03/01/1993
451.670013,440.19000199999994,1993,04,04/01/1993
